device_id,country,first_game_ver,game_ver_num,network_name,demographic,play_time,days_since_release
076300F508D8EE3E4C1EFB4095E,US,0.11.0,110,network A,unknown,91.45124384,7
076300F508D8EE3E4C1EFB4095E,US,0.11.0,110,network A,unknown,91.45124384,6
076300F508D8EE3E4C1EFB4095E,US,0.11.0,110,network A,unknown,91.45124384,5
076300F508D8EE3E4C1EFB4095E,US,0.11.0,110,network A,unknown,91.45124384,4
07637FFA08D8EE37E4FABA54EAF,US,0.11.0,110,network A,unknown,75.47628767,7
07637FFA08D8EE37E4FABA54EAF,US,0.11.0,110,network A,unknown,75.47628767,6
07637FFA08D8EE37E4FABA54EAF,US,0.11.0,110,network A,unknown,75.47628767,5
07637FFA08D8EE37E4FABA54EAF,US,0.11.0,110,network A,unknown,75.47628767,4
0763954808D8EE2F38A45DB2A51,US,0.11.0,110,network A,unknown,44.3094798,7
0763954808D8EE2F38A45DB2A51,US,0.11.0,110,network A,unknown,44.3094798,6
0763954808D8EE2F38A45DB2A51,US,0.11.0,110,network A,unknown,44.3094798,5
0763954808D8EE2F38A45DB2A51,US,0.11.0,110,network A,unknown,44.3094798,4
0763969308D8ED79CC6C2D4C2AF,GB,0.11.0,110,network A,unknown,51.80086872,7
0763969308D8ED79CC6C2D4C2AF,GB,0.11.0,110,network A,unknown,51.80086872,6
0763969308D8ED79CC6C2D4C2AF,GB,0.11.0,110,network A,unknown,51.80086872,5
0763969308D8ED79CC6C2D4C2AF,GB,0.11.0,110,network A,unknown,51.80086872,4
0763969308D8ED79CC6C2D4C2AF,GB,0.11.0,110,network A,unknown,51.80086872,3
0763F78208D8EE39FF431E4A4FF,GB,0.11.0,110,network A,unknown,83.22661834,7
0763F78208D8EE39FF431E4A4FF,GB,0.11.0,110,network A,unknown,83.22661834,6
0763F78208D8EE39FF431E4A4FF,GB,0.11.0,110,network A,unknown,83.22661834,5
0763F78208D8EE39FF431E4A4FF,GB,0.11.0,110,network A,unknown,79.26745864,4
00004FCC08D8F07E4E6EE080972,GB,0.11.0,110,network C,F 25-34,23.94431039,7
00A8905008D8E965B41835DCF53,GB,0.11.0,110,network A,unknown,5.477225575,7
00A8905008D8E965B41835DCF53,GB,0.11.0,110,network A,unknown,5.477225575,6
00A8905008D8E965B41835DCF53,GB,0.11.0,110,network A,unknown,5.477225575,5
00A8905008D8E965B41835DCF53,GB,0.11.0,110,network A,unknown,5.477225575,4
00A8905008D8E965B41835DCF53,GB,0.11.0,110,network A,unknown,5.477225575,3
00A972F408D8EAFD202CF9B838F,GB,0.11.0,110,network D,F 18-24,12.31543747,7
